1584971982692|9|statement|connection 0|SELECT 1|SELECT 1
1584972026154|213|statement|connection 0|select * from article where article.account_id =  ? order by article_create_time desc limit ?  |select * from article where article.account_id =  1 order by article_create_time desc limit 5  
1584972026245|1|statement|connection 0|select * from article where article.account_id =  ? order by article_read_count desc limit ?  |select * from article where article.account_id =  1 order by article_read_count desc limit 5  
1584972029016|1|statement|connection 0|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=?|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=1
1584972052024|1|statement|connection 0|select * from article where article.account_id =  ? order by article_create_time desc limit ?  |select * from article where article.account_id =  1 order by article_create_time desc limit 5  
1584972052030|2|statement|connection 0|select * from article where article.account_id =  ? order by article_read_count desc limit ?  |select * from article where article.account_id =  1 order by article_read_count desc limit 5  
1584972052036|1|statement|connection 0|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=?|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=1
1584981813427|14|statement|connection 0|SELECT 1|SELECT 1
1584981932514|1|statement|connection 0|SELECT 1|SELECT 1
1584981932633|22|statement|connection 0|select * from article where article.account_id =  ? order by article_create_time desc limit ?  |select * from article where article.account_id =  1 order by article_create_time desc limit 5  
1584981932679|1|statement|connection 0|select * from article where article.account_id =  ? order by article_read_count desc limit ?  |select * from article where article.account_id =  1 order by article_read_count desc limit 5  
1584981932836|1|statement|connection 0|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=?|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=1
1584981962577|1|statement|connection 0|select * from article where article.account_id =  ? order by article_create_time desc limit ?  |select * from article where article.account_id =  1 order by article_create_time desc limit 5  
1584981962585|1|statement|connection 0|select * from article where article.account_id =  ? order by article_read_count desc limit ?  |select * from article where article.account_id =  1 order by article_read_count desc limit 5  
1584981962590|1|statement|connection 0|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=?|select account0_.id as id1_6_, account0_.account_admin as account_2_6_, account0_.account_birth_date as account_3_6_, account0_.account_company as account_4_6_, account0_.account_create_date as account_5_6_, account0_.account_head as account_6_6_, account0_.account_name as account_7_6_, account0_.account_password as account_8_6_, account0_.account_sign as account_9_6_, account0_.account_site as account10_6_, account0_.communication_id as communi11_6_ from account account0_ where account0_.id=1
1585378630824|15|statement|connection 0|SELECT 1|SELECT 1
1585378864501|1|statement|connection 0|SELECT 1|SELECT 1
